customer_tweet_id,customer_text,support_tweet_id,support_text
2695982,IF MY MF PHONE DONT QUIT THAT BULLSHIT I️M GETTING ON APPLES ASS. @115858,2695981,"@757596 Please update the device to the latest version of iOS, 11.1.2. This will resolve this issue. Remember to back up your device first.

How to update your iOS device: https://t.co/80YRnjDFDk
How to back up your iOS device: https://t.co/4f8hwT5to6"
2063419,@AppleSupport where is the force touch in,2063418,@610269 We're happy to help. What device are you inquiring about?
1406647,@AppleSupport I have iPhone 6+ on iOS 11. How do I force restart? The power and home button no longer do the trick.,1406644,@446956 This article should help you out! https://t.co/o7nB3pXfMv
2907942,@AppleSupport have been a Mac user for countless years and after high Sierra update my Mac is officially dead,2907941,@805156 We'd like to take a look at this with you. May we ask what type of Mac you have to get started?
445952,"Hey @115858 . . . get your act together.  3 custom iMacs in 3 weeks, all defective, and horrific customer service. Not the way to treat loyal customers. You've slipped BIG TIME!",445949,@220614 We'd love to see how we can help. We want your experience with your iMac to run smoothly each time. It sounds like we have an opportunity to improve on your experience. DM us at the link below with more details. https://t.co/GDrqU22YpT
2834507,@AppleSupport  https://t.co/YYwTJgivzQ,2834509,@296718 If you can’t get in touch with the website you can use their local contact information here: https://t.co/ZopyhMOJUF
1827960,@115858 when y’all gonna come out with another update cuz everything on my phone running like TRASH,1827959,"@548598 You're in the right place; we'll do all we can to help. To get started, let us know what's happening in DM: https://t.co/GDrqU22YpT"
856146,whyyy have my messages been coming in delayed the past like 3 days 🤦🏽‍♀️ @AppleSupport,856144,@323311 We'd like to look into this with you. How delayed are the messages?
1005209,So @115858 can make a phone that can read ur fingerprint And they cant make a charger that actually freakin charges?!!!,1005208,@357919 We'd be happy to look into this with you.  Please reach out to us via DM and we'll get started. https://t.co/GDrqU22YpT
2229409,"@115858  what the fuck is wrong with your new ios, i slept with my phone battery percent at 45% and when i woke up it was 6% 😡😡😠",2229408,@650602 We want to help. Reach out via DM using the link below. Let us know what version of iOS 11 you're using. https://t.co/GDrqU22YpT
1971127,"Seriously, @AppleSupport, @117735 has been unable to activate svc for it despite online, a visit and four calls.",1971126,@583858 We'd like to take a closer look. Please DM us your current watchOS version and iOS version of the paired iPhone. https://t.co/GDrqU22YpT
87052,euh par contre c’est une vie ça de mettre à charger son téléphone mais que la batterie continue à diminuer?? @115858 jvous parle là,87051,@135055 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj
1680031,@510888 @AppleSupport Doing this can make I️t quit https://t.co/0UjZCkeofJ,1684511,@510889 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9
63200,@AppleSupport how can I add Night Mode to the control center in the new iOS?,63198,@130498 We're here for you. Which version of the iOS are you running? Check by tapping Settings &gt; General &gt; About.
1470897,"@AppleSupport why does my freaking phone change the brightness on its own?! Getting annoying, fix it fast. It’s getting annoying AF",1470896,@461422 Let's take a look at this together. May we ask which iOS version you're currently using?
1789022,"@AppleSupport My iPhone 6 loses all of the battery in 15 minutes after the newest update. Also, it shuts down at about 50% saying its dead.",1789021,@537404 We'd like to help. Let's meet in DM to investigate. https://t.co/GDrqU2kzhr
1659149,@AppleSupport since the last update my phone has been shutting down applications and on the fritz - what gives?!!!!,1659148,@506205 We'd be happy to look into this with you! Send us a DM to get started. https://t.co/GDrqU22YpT
199378,.@AppleSupport What’s the problem with #battery percentage in #iOS11 ?,199377,"@162996 Let us help. Tell us more about what you're experiencing. Also, this article may help as well: https://t.co/bivpdfBNJ6"
1762808,"@AppleSupport It's just an extra step. Sometimes it's. Ice to have that right there, not needed extra steps.",1762810,"@167715 Apple wants our customers to be the happiest in the world, so we certainly welcome your input on this. Here’s a great link to submit your feedback: https://t.co/eTPVYVFyd8"
1406219,@AppleSupport It's trying to update. And almost gets to the end and stops. I tried to update for 8 hours and it wouldn't complete.,1406221,"@446863 Got it, thanks! So we can look closer into this with you, send us a DM and we'll continue further from there. https://t.co/GDrqU22YpT"
1743648,@AppleSupport fix this  auto correct when I type “I️” ..,1743647,@525920 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9
1773189,@AppleSupport What the heck is up with the letter I (I️ ) and when are you going to fix it?,1773188,@532931 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/uQeXsrrlXJ
431269,@AppleSupport why tf when its 9:30 pm and I ask siri to set a 6:30 alarm she sets it for 21 hours in advance to 6:30 PM?? sooooo dumb,431268,@217538 Thanks for reaching out to us. Here is a helpful resource: https://t.co/xOrdgHyyiA Let us know if you have questions.
407510,"I got the iphone 7 a few months ago, &amp; now that the 8 is out, im having so much problems with it. My androids wouldnt do this to me 🙃 @115858",407509,@212135 What’s happening with your iPhone 7? Let’s look into this together.
2773177,Who can help :) I need buy for our customer In my area Czech Republic new @115858 Iphone X 256 silver,2773176,"@775094 Our Online Sales Support would be best suited to assist you, you can reach them here:   https://t.co/K0222CJgiB"
556120,How is my battery percentage going down while my phone is charging? @115858 you suck so bad.,556118,@249908 Does this happen with all charging cables and power sources? Let us know in a DM. https://t.co/GDrqU22YpT
759834,"@AppleSupport sure, I press the button and currently nothing happens (iTunes is open, ready 2 play). Or it pauses the Twitch stream I’m watching.",759833,"@301550 What kind of Mac do you have? Meet us in DM, and we'll take a closer look to see how we can help. https://t.co/GDrqU22YpT"
1469335,Does anyone know how to disable the iPhone asking for Apple Pay in iOS 11.03? I don’t use Apple Pay @AppleSupport,1469334,@461034 We would like to help with this. Reach out to us in DM with more information. https://t.co/GDrqU22YpT
1648339,@AppleSupport The symbols don’t appear anymore! Thank you!,1648338,@503563 Glad to hear it. Let us know if you need anything else.
1211789,Cuando va a sacar @AppleSupport la actualización de ios que repare todo lo que jodió la última actualización..? Mi iphone no es el mismo. 🤕,1211788,@404421 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs
2494922,@AppleSupport Obvi I know but can we please incorporate this in the next update,2494921,@712092 We've got a place for that! You can leave that info on our Feedback page; it goes to our developers: https://t.co/eTPVYVFyd8
123066,"@AppleSupport Also I’ll get notifications for old, read texts, and not for newer ones.",123065,@143485 Wounds like we've got a few things happening. We'll be happy to do all we can to help get this sorted out. Next step would be to update fully to iOS 11.1.2 which I the most current version. This guide will offer assistance if you need is: https://t.co/80YRnjDFDk
34610,"Oh great, iMessage not working after the latest iOS update. 😐 @AppleSupport",34609,@123499 Thanks for reaching out. DM the specific issue you are seeing with Messages to get started. https://t.co/GDrqU22YpT
463112,@AppleSupport Can I charge my AirPods case with the earbuds in?,463111,@225068 You absolutely can! The AirPods charging case can be charged with or without the AirPods in the case. Find more info here: https://t.co/oV2RDKEa4q
1775381,"@AppleSupport I have a reservation number for the iPhone X and have been given 24 hrs to make the purchase, but it isn't working! What to do",1775380,@533501 That is going to be a great question for our sales support team. Reach out to them here: https://t.co/8yjRd1Xo0i
810386,@AppleSupport I’m having issues with everything. My phone just keeps freezing. It’s terrible.,810387,@313084 We’d like to continue this conversation in DM. Let us know if a restart helps: https://t.co/OWRDHWSt4h https://t.co/GDrqU22YpT
1476948,"Hi @115858 @AppleSupport , I'm based in the UK and I accidentally sent an Apple Store USA E-Gift card to the wrong email address! Please help",1476947,@462930 We'd like to help get you in touch with our iTunes Store group here: https://t.co/SDIe7UiyJN
1890332,@AppleSupport High Sierra is the worst OS ever. I have a 8 core CPU + 16GB Mem RAM macbook retina... it is very laggy OS... #Bullshit,1890331,@449299 We want to help. DM us which apps you're seeing this lag with and any other details. We'll work with you on this issue. https://t.co/GDrqU22YpT
1086098,My phone just went from 54% to 1% in 0.5 seconds. @115858 it's 2017 when are we gonna fix this,1086097,@376194 Thanks for reaching out. DM which iPhone and specific iOS version are you using at this time? https://t.co/GDrqU22YpT
1411720,@AppleSupport your phone system just hung up on me. Need help with iPhone 10 order problem.,1411719,@401055 Thanks for connecting with us. Click here to join us in DM and provide us with your location: https://t.co/GDrqU22YpT
2555314,@AppleSupport Yes. My iPhone has issues loading safari with WiFi and the WiFi signal is weaker after the update. Several apps run much slower or do not work at all (all updated yesterday).,2555316,@725619 Thanks for the information. Please join us in DM and we'll continue with you from there. https://t.co/GDrqU22YpT
44561,Still no resoultion to my complaint. Poor service. Acknowledgement of your email/submission - Follow-up: 677035208 @116333 @AppleSupport,44560,"@125886 We would like to hear about your AppleCare support experience.  Please send us a DM, so we can take a look. https://t.co/GDrqU22YpT"
1445615,@AppleSupport looks like the email unsubscribe feature in ios11 isn’t working. Still keep getting emails,1445613,@455462 We'd like to help however we can. Which version of iOS 11 are you running? Here's how to check: https://t.co/ZTw54HL4Rm
2027395,Thanks @115858 for turning my iPhone 6 into an unresponsive piece of junk with iOS 11. Thanks. So much. @AppleSupport #iOS11,2027394,@599536 We'd like to look into your issue with you. Send us a DM and tell us what's going on. We'll help you there. https://t.co/GDrqU22YpT
1133169,"iOS11 is a dumpster fire. If it is beautiful but unstable (~5 crashes/day), why release?

Useability is essential, @AppleSupport",1133168,@240024 We'd love to help with any issues you're experiencing. Please DM us and let us know exactly what's going on. https://t.co/GDrqU22YpT
2350756,@AppleSupport Restarting resolved both problems. Thank you 🙂,2350757,"@679436 We're glad to hear it! Never underestimate the power of a reboot. If you need anything further, just let us know. Take care."
975779,Updated my phone and now everything freezes. This sucks @AppleSupport,975777,@351406 We'd be happy to help you out! Send us a DM to get started. https://t.co/GDrqU22YpT
1788164,"@AppleSupport (3/3) Like Database 00-09-12-921. Every time I delete it, it comes back again and more keep accumulating.",1788163,"@537145 We certainly want to get that figured out with you too. To get started, DM us with the model Mac and macOS you are using. https://t.co/GDrqU22YpT"
1913305,Can we have a discussion in how terrible my phone has operated since I switched to iOS 11? @115858 @AppleSupport,1913304,@569920 We'd like to know more to figure out the best way to help. DM us with the details; we'll go from there. https://t.co/GDrqU22YpT
2953860,"My laptop is pissing me off. @115858, you are failing me",2953859,@797924 Let's check this out together. Follow us to DM and we'll take a closer look. https://t.co/GDrqU22YpT
2710968,"@AppleSupport Sorry. Gotta have dinner, so I’m going to be gone for a while. I hope someone is there later! Thanks!",2710971,"@125972 We're here until 8PM Pacific, but if we miss you we'll get back to you first thing in the morning. Enjoy your dinner."
2261515,@AppleSupport would be great if the I️ thing got fixed.,2261513,"@658444 iOS 11.1.1 was recently released and it includes a fix for autocorrect issues. Be sure to back up your device prior to updating, and let us know if the issue persists afterwards."
2981820,@AppleSupport @115948 my Apple Music won’t load. It keeps glitching and I can’t click on it without it blacking out. It’s been doing this for 4 days now.,2981819,"@822415 Hi there. We want you to be able to enjoy Apple Music. You're in the right place for help. Which device are you having issues with? Also, tell us the OS version you're running on the device. Let us know in DM. https://t.co/GDrqU22YpT"
682076,"@115858 have defiantly been bugging with my phone because since the iPhone X has come out, my phones been moving like a dickhead",682075,@282783 Let us help with your iPhone! DM us your exact iOS version and more details about the issue. We’ll continue from there. https://t.co/GDrqU22YpT
2862134,@795093 hey @applesupport can you please help us? i can't request a call/chat on your website because i can't access my serial number/IMEI/MEID because my phone WON'T TURN ON and i didn't keep the original packaging,2862132,"@795092 Having access to your iPhone is important, and we’d love to help. What happens when putting your iPhone into recovery mode? DM us the answer to get started. https://t.co/GDrqU22YpT"
1516661,Pior coisa q eu fiz na vida foi tee atualizado meu celular pro ios 11. @115858 @AppleSupport by the grace of god help me,1516660,"@471877 Since our Twitter support is available in English, get help at https://t.co/IBIY3vMgPj or join https://t.co/pvaOFfPbjt"
404106,"iOS 11 f**king load of shit, apps don’t download unless I go to passcode and back in again, emails freeze? Calendar freezes @AppleSupport",404104,@211649 We have released 11.0.2. Make sure you have a backup and then go ahead and get your iPhone updated: https://t.co/80YRnjDFDk
184128,what the hell is wrong with apple music now??! someone enlighten me @AppleSupport 😭 https://t.co/q4MfxN1vll,184126,@159326 We’ve got you covered. Which versions of iOS are you using (Settings &gt; General &gt; About)? Are you singed into your account?
211327,@AppleSupport any reason @129941 keeps crashing on iPhone 8 plus iOS 11.0.1?,211326,@166063 We're happy to help. What have you tried so far in an attempt to resolve it? Thanks.
2713247,@116333 I am a loyal Apple user since 2003 &amp; for the very first time I am un-impressed &amp; disappointed of my new iPhone8 😔 I should have stayed with the 7,2713246,@761705 Let's see what we can do to help. Send us a DM with more information about what's going on with your device. https://t.co/GDrqU22YpT
1752124,@AppleSupport Thank you! Only happens with earphones in. I'm due to upgrade to 11.0.3 (will do asap). I pause &amp; fully close app &amp; it'll still play! 😅,1752122,@527864 That's certainly not expected! Don't hesitate to reach out to us if the issue persists after updating to iOS 11.0.3.
303148,God fuck I unlock my phone and battery goes to 40% EXBLAIN @115858,303147,@188358 Hi there! Can you provide us with some more details?
644383,@AppleSupport Actually both of those.  And I tested with other phones. They can’t hear me and I can’t hear them,644382,"@272954 If you haven't tried already, restart the iPhone. https://t.co/n9BF3L9h6y

If that doesn't work, please meet us in DM. https://t.co/GDrqU22YpT"
2834595,Another update issue I’m finding is when I open the camera I don’t want the live option on. So I’ve gone to setting and turned it off but when I go onto my camera every time I still have to turn it off. @AppleSupport,2834594,"@150981 We understand not wanting this feature turned on. Let's see what we can do to get it to stay off. First toggle Live photos by turning it off, restarting your device, then going back to the Camera app. Let us know in DM if Live Photos is still on. https://t.co/GDrqU22YpT"
2347537,alright na @AppleSupport @115858 this shit getting outta hand i️ thought it was just on the upper case i not the lower case too😤,2347536,@668748  iOS 11.1.1 was recently released and it includes a fix for autocorrect issues. Were you able to update to iOS 11.1.1? Please DM us if the issue is persisting in iOS 11.1.1: https://t.co/GDrqU22YpT
2377064,CAN YALL FIX THE FUCKIN KEYBOARD @115858,2377063,@685585 We'd love to help out with your keyboard! What's happening with it?
2371252,"@AppleSupport ... Battery drain, back arrow not always working and more importantly App updates do not update.",2371251,"@684216 Thanks for reaching out to Apple Support. Did you update over Wi-Fi or through iTunes? Additionally, are you able to download new apps?"
2552544,"@AppleSupport my iPhone 6 Plus camera won’t focus (but the front facing one is fine), any help?? Thanks!",2552543,"@725036 Having a great camera at your fingertips is one of the wonderful features of your iPhone and we want you to be able to use it. Is the not focusing happening close up, at a distance or both? 
Let's work through the steps from this aticle: https://t.co/IhKkIlFUDl"
887872,@AppleSupport iMessages wouldn’t send but I could messages as a text,887870,"@330822 Got it, thanks for clearing that up. Are you still experiencing this issue currently?"
2286467,@AppleSupport completed 2x 11+ minute Apple Watch workouts today and still haven’t unlocked the Veteran’s Day challenge. What’s up?,2286465,@468517 Great job! Let's see if turning your watch off and back on helps with getting the badge to show up.
56951,@115858 can you tell me when when I type the letter “I” some damn symbols pop up like I’m out here coding and doing a MySpace edit 🤨,56950,@128897 We can definitely look into this with you. Which device are you using? DM us and let us know. https://t.co/GDrqU22YpT
2033047,@115858 love when all the convenience of the iPad Pro for art is killed in one update #iOS11sucks,2033046,@601164 Let’s get you back to enjoying your iPad Pro. Could you let us know more details via a DM? We’ll keep moving from there. https://t.co/GDrqU22YpT
2903675,@AppleSupport I have an iPhone 6s. I noticed it with the iOS 11 update. I now have iOS 11.1.2,2903677,"@804169 Thank you. We’d like to look further into this with you. To start, please send us a DM. https://t.co/GDrqU22YpT"
1095925,@AppleSupport this update fucking sucks how come it says i’m listening to music when i’m playing a podcast ? what? fix it! https://t.co/dtqmckzfXh,1095923,@378619 We'd like to help. DM us which iOS 11 version you're on. https://t.co/GDrqU22YpT
2736388,@AppleSupport Post from other ppl,2736390,"@766813 OK. If you are not seeing it on your outgoing messages, you are not experiencing this issue. No worries."
1736091,What is up with the weird symbol thing @AppleSupport !!!!!!!! So annoying,1736090,@524165 We'd like to help out. What symbol are you referring to?
1771501,Okay @115858 @AppleSupport can you fix this capital I️ Am situation. Cause I️ can’t be funny with the special character showing up,1771500,@532495 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9
2571388,"@AppleSupport Widespread. App, gallery and camera take ages to open andtaking pics. Even tipping tweets, fb status, letters come out very slowly.",2571387,@729187 What the exact iOS version you're using? Let us know in DM. https://t.co/GDrqU22YpT
229213,"@AppleSupport Thanks! 6S, 11.0.2",229216,"@170664 Got it. Next, can you please tell us how often does this issue occur?"
2950957,"@AppleSupport I can’t select a specific song. For instance, I can search @3537 and shuffle his album, but I cannot play a specific song.",2950960,"@814889 Okay, got it!  We'd like to look into this further, can you DM us whether you are part of a family membership, individual or student? https://t.co/GDrqU22YpT"
556975,"@AppleSupport I have to manually change the default app (cmd+i) and apply to all. and then it's ok. until I shut down and turn on the beast, and then… back to the other default app. It also happen sometimes without restart… but it's harder to quantify the situation then.",556973,@250054 Thanks for reaching out to us. Has anything changed since you first noticed this happening? Does this happen when booting in Safe Mode? https://t.co/yzqLZ7lfa4
2037053,@AppleSupport Ive had this freaking 8plus for alittle over a MONTH and its already slow and glitchy? makes no sense to me.,2037052,"@503104 We want your new device to work as hard as you do. Send us your current iOS version in DM, and we’ll work on this there. https://t.co/GDrqU22YpT"
1928416,@AppleSupport guys why does my keyboard keep disappearing from my screen on my iPad!?!? #bugfixneeded,1928415,"@573889 That's something we want to help with. Are you using the built-in software keyboard, or a third-party keyboard?"
2057462,My phone has been completely messed up since the latest update😡 sort it out @AppleSupport,2057461,@608502 DM us which device and version of iOS 11 you’re using. This information is found under Settings &gt; General &gt; About. https://t.co/GDrqU22YpT
1976448,"@115858 is the April fools or some shit, fix this “I️” (“i”) glitch",1976447,@585291 Thanks for reaching out. Let us know the device and OS you're having this issue on in a DM. We're happy to help. https://t.co/GDrqU22YpT
2944518,@AppleSupport is there a patch coming for this? https://t.co/xxAz1hKDcf,2944517,@813406 Thanks for reaching out! Meet up with us in DM. We'd love to provide you more guidance on this topic. https://t.co/GDrqU22YpT
2888003,@AppleSupport I had to get our IT people on it to fix it. Well they were only able to create a work around for me. But so far it has been ok.,2888005,@373660 We suggest completing the update at this time. We're here for you if you have any other questions.
569292,"Friends in Australia, and @AppleSupport any idea where I can buy a few of these (just the country specific adapter for a Macbook Air charger) https://t.co/Xe7g5JC6Yo",569291,"@10766 Reach out to our Apple Online Store team via the following link, and they can advise you on available options from there: https://t.co/8yjRd1Xo0i"
1677885,@AppleSupport is this legitimate? I’ve been receiving voicemails on a landline that there has been a security breach on my Apple devices https://t.co/qJEngsau0e,1677884,@510350 We hear you and we want to help. Meet us in DM and we'll go from there: https://t.co/GDrqU22YpT
2789226,Just had the rudest customer service rep with @AppleSupport trying to help an elderly library patron with her iPad.  Just bought a new iphone X.  Maybe shouldn't have...,2789225,"@778565 We'd like to look into this. To do that, please share more info with us in DM: https://t.co/GDrqU22YpT"
1297529,Yoo wtf my phone hasnt been working since i updated it @115858,1297527,@423211 We'd like to help. Can you tell us more information on what's going on with your iPhone?
1658705,@115858 my phone freezes &amp; glitches multiple times a day since the software update. I’ve never considered switching phones until now. Plz fix,1658704,@506079 Let's look into this for you. Send us a DM with more details about your iPhone performance issues. https://t.co/GDrqU22YpT
2020860,@AppleSupport My phone has been reset three times and swapped out for a new device and it is still crashing/freezing non-stop,2020859,@597641 We'd love to assist you with the struggles you've had. Please DM the current iOS &amp; country and we'll determine your options https://t.co/GDrqU22YpT
1472818,"Ever since these new @115858 upgrades started coming out my phone has been the slowest ever, thanks #applesucks",1472817,@196808 We're here for you. DM some further details as to what is going on and we can go from there together. https://t.co/GDrqU22YpT
2375286,"@AppleSupport As an iphone 5 - you can imagine I've had this for a while, so Imessge was something that was well-traveled on this phone. :)",2375285,"@679977 Has it shown the waiting for activation error for 24 hours or more consistently without you attempting to activate again? Does it show your date, time, and timezone correct in Settings &gt; &gt; General &gt; Date &amp; Time? DM the answer. https://t.co/GDrqU22YpT"
2545653,@AppleSupport the pages app isn’t working since y’all “updated” it. Fix itttttt please. 🙄,2545652,@723561 Thanks for reaching out to us. We are always happy to help. Can you tell us what you're experiencing with the Pages app?
1242865,@AppleSupport Yes—same result,1243390,"@411563 Please restart the iPad, and test to see if the issue persists.  Let us know your result and we can go from there."
1444477,@AppleSupport FIX MY PHONE I️,1444476,"@455196 We'd be happy to help. Meet us in DM with your iOS version, please. https://t.co/GDrqU22YpT"
2944540,"I haven’t long fully charged my phone and it’s on 61% already 😐 I am really starting to dislike @115858 products again, can anyone recommend a handset that has decent battery life and better everything?",2944539,@711983 We understand the importance of having great battery life. Please click here to connect with us in DM and we'll continue there: https://t.co/GDrqU22YpT
2799439,"@AppleSupport Thanks girl! 

Sis @107462 ⬇️",2799440,@781040 We're always happy to help. Feel free to reach back out to us if you still need help.
1709241,@AppleSupport when will the auto-capitalizing “It” and I️ that changed to “A ?” be fixed?! This is super annoying!,1709240,@517918 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9
267331,@AppleSupport iPhone 7,267333,@179726 Can you let us know which version of iOS 11 you're on? iOS 11.0.2? Is the freezing happening with a specific app or randomly?
2478977,iOS 11.1.1 is somehow making my iPhone slightly slower again 😕 @AppleSupport,2478976,@708463 We want to be sure you get the most out of your iPhone's performance. We'd be happy to look into this with you. Send us a DM and let us know what you're working on when you notice this behavior. https://t.co/GDrqU22YpT
2631601,AND IMA NEED APPLE TO FIX THAT DAMN  ? ISSUE!!!!! @115858,2631600,@570164 Help is here. Send us a DM and we'll check a few things together to get this resolved: https://t.co/GDrqU22YpT
1536970,@115858 #iPhoneX activation issues? Ruined experience. 3 hours- still nothing. At least A11 Bionic chip makes failing to activate really quik,1536969,@476523 We'd like to help. DM us with a bit more detail on what's going on and we'll go from there. https://t.co/GDrqU22YpT
700035,@AppleSupport why does my iPhone keep restarting over and over!?,700034,@287025 Let's look into that. Send us a DM and we'll go from there. https://t.co/GDrqU22YpT
1086059,@AppleSupport when will the pre-approval for IUP members be available for the X pre-order?,1086058,@376181 We'd like to get you to our Apple Online Store. Please reach an Advisor here: https://t.co/8yjRd1Xo0i
1741629,@115858 i’m seriously sick of these stupid fake emojis and my i’s becoming question marks. fix it or i’m going samsung. don’t test me.,1741628,@525423 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9
1337316,"@AppleSupport and @117735, know you’re fielding a lot of inquiries today, but the email I supposedly was sent never arrived. Help! https://t.co/pVbduAOP6V",1337314,"@294009 Was this order made through our website? If so, reach out to our Online Sales team: https://t.co/8yjRd1Xo0i They can help."
1078718,Hey @AppleSupport I deleted a lot off my phone to make room for the update and I'm getting an error code now when I try to install it 🤦🏾‍♂️,1078717,@374461 We'd love to help you be able to update! Please send us a DM with the error code that you're seeing to begin. https://t.co/GDrqU22YpT
436978,Argh apple. My iPhone 7 Plus is unusable after this iOS 11. How can I downgrade to iOS 10? @AppleSupport,436976,"@218772 We'd be happy to take a look!  To do that, can you tell us more about the behavior you're experiencing?"
1718282,@AppleSupport how do I️ fix the I️ bug it’s driving me crazy!,1718281,@520266 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXefaskH
1756403,what the fuck is going on with my iPhone? @115858,1756402,@528870 We're glad to work with you on your iPhone issues. DM us details using the link below. https://t.co/GDrqU22YpT
2020176,When will eye be able to type the letter eye without have to worry about it autocorrect to I️ @AppleSupport,2020175,@597407 We're here to help. Take a look at the following article and DM us any questions you may have: https://t.co/uQeXsrrlXJ https://t.co/GDrqU22YpT
754199,Yo why the fuck is music skipping in my phone like I got a scratched ass CD ?????? @AppleSupport fuck is y'all on,754198,@300269 We'd be happy to look into this with you. Send us a DM. https://t.co/GDrqU22YpT
523869,@AppleSupport why ios 11.1.2 often self rebooting? It back to passcode again,523868,@241089 We want you to have an iPhone that works. Send us a DM and we'll tackle this issue together. https://t.co/GDrqU2kzhr
1907020,@AppleSupport the updates ruined my iPhone 6. Apps won’t stay open and battery is horrible. Why 😭,1907019,"@568193 We're here to help. What's the exact iOS version running on your iPhone? Let's take this to DM, so we can better assist you. https://t.co/GDrqU22YpT"
1044126,"@115858 i’ve had (and loved) my ipad for almost two hears, but ever since i updated it has lagged for the first time...it’s annoying😒",1044124,@366888 We how important it is for your device to work the way you'd like. Have you updated to 11.0.1?
2177276,I’m so over this damn A and ?  crap @115858 get this handled man.,2177275,@638166 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXefaskH
2294094,@AppleSupport i have a question my usb port broke on my mac i’ve tried everything can i buy something to imitate a usb port,2294093,"@666167 We’d like to look into this with you. To start, please send us a DM letting us know in which country you are located, as well as which model Mac you’re using. https://t.co/GDrqU22YpT"
40560,Hey @AppleSupport why can’t I download podcasts from @1922 ? New update is terrible https://t.co/AWxHdxT0Q2,40559,@124904 Thank you for reaching out to us. Which software version are you using? Does this happen when downloading all episodes?
2230047,"Hey @115858 please fix the text replacement glitch, it’s maddening :(",2230045,"@650799 An update has been released to assist with this issue. If you haven’t yet, please back up your device and update it to iOS 11.1.1. DM us if needed for further help. For more info, check out: https://t.co/ui8Itz8ESg https://t.co/GDrqU22YpT"
